C_ID_UD_ORGANICA;C_DNM_UD_ORGANICA;C_ID_NIVEL_ADMON;C_ID_TIPO_ENT_PUBLICA;N_NIVEL_JERARQUICO;C_ID_DEP_UD_SUPERIOR;C_DNM_UD_ORGANICA;C_ID_DEP_UD_PRINCIPAL;C_DNM_UD_ORGANICA;B_SW_DEP_EDP_PRINCIPAL;C_ID_DEP_EDP_PRINCIPAL;C_DNM_UD_ORGANICA;C_ID_ESTADO;D_VIG_ALTA_OFICIAL;NIF_CIF
A01034579;Delegación Territorial de Empleo, Empresa y Trabajo Autónomo en Málaga;2;CA;3;A01025638;Consejería de Empleo, Empresa y Trabajo Autónomo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01034581;Delegación Territorial de Empleo, Empresa y Trabajo Autónomo en Sevilla;2;CA;3;A01025638;Consejería de Empleo, Empresa y Trabajo Autónomo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01025790;Viceconsejería (Desarrollo Educativo y Formación Profesional);2;CA;3;A01025640;Consejería de Desarrollo Educativo y Formación Profesional;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01035353;Delegación Territorial de Desarrollo Educativo y Formación Profesional y de Universidad, Investigación e Innovación en Almería;2;CA;3;A01025640;Consejería de Desarrollo Educativo y Formación Profesional;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035362;Delegación Territorial de Desarrollo Educativo y Formación Profesional y de Universidad, Investigación e Innovación en Cádiz;2;CA;3;A01025640;Consejería de Desarrollo Educativo y Formación Profesional;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035432;Delegación Territorial de Desarrollo Educativo y Formación Profesional y de Universidad, Investigación e Innovación en Córdoba;2;CA;3;A01025640;Consejería de Desarrollo Educativo y Formación Profesional;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035452;Delegación Territorial de Desarrollo Educativo y Formación Profesional y de Universidad, Investigación e Innovación en Granada;2;CA;3;A01025640;Consejería de Desarrollo Educativo y Formación Profesional;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035458;Delegación Territorial de Desarrollo Educativo y Formación Profesional y de Universidad, Investigación e Innovación en Huelva;2;CA;3;A01025640;Consejería de Desarrollo Educativo y Formación Profesional;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035464;Delegación Territorial de Desarrollo Educativo y Formación Profesional y de Universidad, Investigación e Innovación en Jaén;2;CA;3;A01025640;Consejería de Desarrollo Educativo y Formación Profesional;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035473;Delegación Territorial de Desarrollo Educativo y Formación Profesional y de Universidad, Investigación e Innovación en Málaga;2;CA;3;A01025640;Consejería de Desarrollo Educativo y Formación Profesional;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035480;Delegación Territorial de Desarrollo Educativo y Formación Profesional y de Universidad, Investigación e Innovación en Sevilla;2;CA;3;A01025640;Consejería de Desarrollo Educativo y Formación Profesional;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01025652;Viceconsejería (Agricultura, Pesca, Agua y Desarrollo Rural);2;;3;A01025641;Consejería de Agricultura, Pesca, Agua y Desarrollo Rural;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01035413;Delegación Territorial de Agricultura, Pesca, Agua y Desarrollo Rural en Almería;2;CA;3;A01025641;Consejería de Agricultura, Pesca, Agua y Desarrollo Rural;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035417;Delegación Territorial de Agricultura, Pesca, Agua y Desarrollo Rural en Cádiz;2;CA;3;A01025641;Consejería de Agricultura, Pesca, Agua y Desarrollo Rural;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035421;Delegación Territorial de Agricultura, Pesca, Agua y Desarrollo Rural en Córdoba;2;;3;A01025641;Consejería de Agricultura, Pesca, Agua y Desarrollo Rural;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035524;Delegación Territorial de Agricultura, Pesca, Agua y Desarrollo Rural en Granada;2;;3;A01025641;Consejería de Agricultura, Pesca, Agua y Desarrollo Rural;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035528;Delegación Territorial de Agricultura, Pesca, Agua y Desarrollo Rural en Huelva;2;;3;A01025641;Consejería de Agricultura, Pesca, Agua y Desarrollo Rural;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035532;Delegación Territorial de Agricultura, Pesca, Agua y Desarrollo Rural en Jaén;2;;3;A01025641;Consejería de Agricultura, Pesca, Agua y Desarrollo Rural;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035536;Delegación Territorial de Agricultura, Pesca, Agua y Desarrollo Rural en Málaga;2;CA;3;A01025641;Consejería de Agricultura, Pesca, Agua y Desarrollo Rural;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035554;Delegación Territorial de Agricultura, Pesca, Agua y Desarrollo Rural en Sevilla;2;CA;3;A01025641;Consejería de Agricultura, Pesca, Agua y Desarrollo Rural;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01025840;Viceconsejería (Salud y Consumo);2;CA;3;A01025643;Consejería de Salud y Consumo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01025979;Delegación Territorial de Salud y Consumo en Almería;2;CA;3;A01025643;Consejería de Salud y Consumo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01025981;Delegación Territorial de Salud y Consumo en Cádiz;2;CA;3;A01025643;Consejería de Salud y Consumo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01025983;Delegación Territorial de Salud y Consumo en Córdoba;2;CA;3;A01025643;Consejería de Salud y Consumo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01025985;Delegación Territorial de Salud y Consumo en Granada;2;;3;A01025643;Consejería de Salud y Consumo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01025987;Delegación Territorial de Salud y Consumo en Huelva;2;CA;3;A01025643;Consejería de Salud y Consumo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01025989;Delegación Territorial de Salud y Consumo en Jaén;2;CA;3;A01025643;Consejería de Salud y Consumo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01025992;Delegación Territorial de Salud y Consumo en Málaga;2;CA;3;A01025643;Consejería de Salud y Consumo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01025994;Delegación Territorial de Salud y Consumo en Sevilla;2;CA;3;A01025643;Consejería de Salud y Consumo;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01014273;Fundación Hospital San Juan de Dios de Lucena y Fundaciones Fusionadas de Córdoba;2;;3;A01025644;Consejería de Inclusión Social, Juventud, Familias e Igualdad;A01002820;Junta de Andalucía;N;;;V;10/11/00;G14570071
A01025655;Viceconsejería (Inclusión Social, Juventud, Familias e Igualdad);2;;3;A01025644;Consejería de Inclusión Social, Juventud, Familias e Igualdad;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01035355;Delegación Territorial de Inclusión Social, Juventud, Familias e Igualdad en Almería;2;CA;3;A01025644;Consejería de Inclusión Social, Juventud, Familias e Igualdad;A01002820;Junta de Andalucía;N;;;V;30/12/20;
A01035364;Delegación Territorial de Inclusión Social, Juventud, Familias e Igualdad en Cádiz;2;CA;3;A01025644;Consejería de Inclusión Social, Juventud, Familias e Igualdad;A01002820;Junta de Andalucía;N;;;V;30/12/20;
A01035434;Delegación Territorial de Inclusión Social, Juventud, Familias e Igualdad en Córdoba;2;CA;3;A01025644;Consejería de Inclusión Social, Juventud, Familias e Igualdad;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035454;Delegación Territorial de Inclusión Social, Juventud, Familias e Igualdad en Granada;2;CA;3;A01025644;Consejería de Inclusión Social, Juventud, Familias e Igualdad;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035460;Delegación Territorial de Inclusión Social, Juventud, Familias e Igualdad en Huelva;2;CA;3;A01025644;Consejería de Inclusión Social, Juventud, Familias e Igualdad;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035466;Delegación Territorial de Inclusión Social, Juventud, Familias e Igualdad en Jaén;2;CA;3;A01025644;Consejería de Inclusión Social, Juventud, Familias e Igualdad;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035475;Delegación Territorial de Inclusión Social, Juventud, Familias e Igualdad en Málaga;2;CA;3;A01025644;Consejería de Inclusión Social, Juventud, Familias e Igualdad;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035482;Delegación Territorial de Inclusión Social, Juventud, Familias e Igualdad en Sevilla;2;CA;3;A01025644;Consejería de Inclusión Social, Juventud, Familias e Igualdad;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01025656;Viceconsejería (Fomento, Articulación del Territorio y Vivienda);2;;3;A01025645;Consejería de Fomento, Articulación del Territorio y Vivienda;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01035494;Delegación Territorial de Fomento, Articulación del Territorio y Vivienda en Almería;2;CA;3;A01025645;Consejería de Fomento, Articulación del Territorio y Vivienda;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035498;Delegación Territorial de Fomento, Articulación del Territorio y Vivienda en Cádiz;2;CA;3;A01025645;Consejería de Fomento, Articulación del Territorio y Vivienda;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035502;Delegación Territorial de Fomento, Articulación del Territorio y Vivienda en Córdoba;2;CA;3;A01025645;Consejería de Fomento, Articulación del Territorio y Vivienda;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035506;Delegación Territorial de Fomento, Articulación del Territorio y Vivienda en Granada;2;CA;3;A01025645;Consejería de Fomento, Articulación del Territorio y Vivienda;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035510;Delegación Territorial de Fomento, Articulación del Territorio y Vivienda en Huelva;2;CA;3;A01025645;Consejería de Fomento, Articulación del Territorio y Vivienda;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035514;Delegación Territorial de Fomento, Articulación del Territorio y Vivienda en Jaén;2;CA;3;A01025645;Consejería de Fomento, Articulación del Territorio y Vivienda;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035518;Delegación Territorial de Fomento, Articulación del Territorio y Vivienda en Málaga;2;CA;3;A01025645;Consejería de Fomento, Articulación del Territorio y Vivienda;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035522;Delegación Territorial de Fomento, Articulación del Territorio y Vivienda en Sevilla;2;CA;3;A01025645;Consejería de Fomento, Articulación del Territorio y Vivienda;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01025657;Viceconsejería (Cultura y Deporte);2;;3;A01025646;Consejería de Cultura y Deporte;A01002820;Junta de Andalucía;N;;;V;27/08/24;S4111001F
A01035333;Delegación Territorial de Turismo, Cultura y Deporte en Almería;2;;3;A01025646;Consejería de Cultura y Deporte;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035360;Delegación Territorial de Turismo, Cultura y Deporte en Cádiz;2;;3;A01025646;Consejería de Cultura y Deporte;A01002820;Junta de Andalucía;N;;;V;;
A01035375;Delegación Territorial de Turismo, Cultura y Deporte en Córdoba;2;;3;A01025646;Consejería de Cultura y Deporte;A01002820;Junta de Andalucía;N;;;V;;
A01035381;Delegación Territorial de Turismo, Cultura y Deporte en Granada;2;;3;A01025646;Consejería de Cultura y Deporte;A01002820;Junta de Andalucía;N;;;V;;
A01035394;Delegación Territorial de Turismo, Cultura y Deporte en Huelva;2;;3;A01025646;Consejería de Cultura y Deporte;A01002820;Junta de Andalucía;N;;;V;;
A01035398;Delegación Territorial de Turismo, Cultura y Deporte en Jaén;2;;3;A01025646;Consejería de Cultura y Deporte;A01002820;Junta de Andalucía;N;;;V;;
A01035402;Delegación Territorial de Turismo, Cultura y Deporte en Málaga;2;;3;A01025646;Consejería de Cultura y Deporte;A01002820;Junta de Andalucía;N;;;V;;
A01035406;Delegación Territorial de Turismo, Cultura y Deporte en Sevilla;2;;3;A01025646;Consejería de Cultura y Deporte;A01002820;Junta de Andalucía;N;;;V;;
A01034435;Fondo Público Andaluz para la Financiación Empresarial y el Desarrollo Económico;2;;3;A01034372;Consejería de Economía, Hacienda y Fondos Europeos;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01034437;Tribunal Administrativo de Recursos Contractuales;2;CA;3;A01034372;Consejería de Economía, Hacienda y Fondos Europeos;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01034442;Viceconsejería (Economía, Hacienda y Fondos Europeos);2;;3;A01034372;Consejería de Economía, Hacienda y Fondos Europeos;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01041434;Delegación Territorial de Economía, Hacienda y Fondos Europeos y de Industria, Energía y Minas en Almería;2;;3;A01034372;Consejería de Economía, Hacienda y Fondos Europeos;A01002820;Junta de Andalucía;N;;;V;31/08/22;S4111001F
A01041435;Delegación Territorial de Economía, Hacienda y Fondos Europeos y de Industria, Energía y Minas en Cádiz;2;;3;A01034372;Consejería de Economía, Hacienda y Fondos Europeos;A01002820;Junta de Andalucía;N;;;V;31/08/22;S4111001F
A01041436;Delegación Territorial de Economía, Hacienda y Fondos Europeos y de Industria, Energía y Minas en Córdoba;2;;3;A01034372;Consejería de Economía, Hacienda y Fondos Europeos;A01002820;Junta de Andalucía;N;;;V;31/08/22;S4111001F
A01041437;Delegación Territorial de Economía, Hacienda y Fondos Europeos y de Industria, Energía y Minas en Granada;2;;3;A01034372;Consejería de Economía, Hacienda y Fondos Europeos;A01002820;Junta de Andalucía;N;;;V;31/08/22;S4111001F
A01041438;Delegación Territorial de Economía, Hacienda y Fondos Europeos y de Industria, Energía y Minas en Huelva;2;;3;A01034372;Consejería de Economía, Hacienda y Fondos Europeos;A01002820;Junta de Andalucía;N;;;V;31/08/22;S4111001F
A01041440;Delegación Territorial de Economía, Hacienda y Fondos Europeos y de Industria, Energía y Minas en Jaén;2;;3;A01034372;Consejería de Economía, Hacienda y Fondos Europeos;A01002820;Junta de Andalucía;N;;;V;31/08/22;S4111001F
A01041442;Delegación Territorial de Economía, Hacienda y Fondos Europeos y de Industria, Energía y Minas en Málaga;2;;3;A01034372;Consejería de Economía, Hacienda y Fondos Europeos;A01002820;Junta de Andalucía;N;;;V;31/08/22;S4111001F
A01041444;Delegación Territorial de Economía, Hacienda y Fondos Europeos y de Industria, Energía y Minas en Sevilla;2;;3;A01034372;Consejería de Economía, Hacienda y Fondos Europeos;A01002820;Junta de Andalucía;N;;;V;;S4111001F
A01034512;Viceconsejería (Universidad, Investigación e Innovación);2;;3;A01034433;Consejería de Universidad, Investigación e Innovación;A01002820;Junta de Andalucía;N;;;V;;
A01035415;Delegación Territorial de Sostenibilidad, Medio Ambiente y Economía Azul en Almería;2;CA;3;A01041432;Consejería de Sostenibilidad y Medio Ambiente;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035419;Delegación Territorial de Sostenibilidad, Medio Ambiente y Economía Azul en Cádiz;2;CA;3;A01041432;Consejería de Sostenibilidad y Medio Ambiente;A01002820;Junta de Andalucía;N;;;V;30/12/20;S4111001F
A01035423;Delegación Territorial de Sostenibilidad, Medio Ambiente y Economía Azul en Córdoba;2;;3;A01041432;Consejería de Sostenibilidad y Medio Ambiente;A01002820;Junta de Andalucía;N;;;V;;
